country,search_keyword,title,company,location,salary_min,salary_max,contract_type,created,description,url,skill_python,skill_sql,skill_power_bi,skill_excel,skill_tableau,skill_spark,skill_airflow,skill_snowflake,skill_aws,skill_azure,skill_r,skill_sas
nl,business intelligence,BI Consultant - juniorfunctie,Jelling,"Halsteren, Bergen op Zoom",,,,2026-01-21 08:18:49+00:00,"€ 4.000,- bruto | ben je op zoek naar gevarieerde taken en wil je een belangrijke bijdrage leveren aan de volledige it-omgeving? aarzel dan niet en reageer direct! functieomschrijving ontwikkel jezelf als een expert in business intelligence bij deze begeerde werkgever in de buurt van breda. in deze rol heb je een significante invloed op de toekomst van de organisatie. als bi-specialist fungeer je als de ultieme adviseur voor interne klanten. je doorgrondt hun bi-behoeften nauwkeurig, signaleert…",https://www.adzuna.nl/details/5593714917?utm_medium=api&utm_source=6c368b7e,False,False,False,False,False,False,False,False,False,False,False,False
nl,business intelligence,Ervaren BI Developer,Jelling,"Uitwijk, Woudrichem",,,,2025-12-16 08:40:22+00:00,"max. € 5.000,- | word jij net zo enthousiast van deze vacature als dat wij dat worden? reageer nu! functieomschrijving ben jij een getalenteerde en ervaren bi specialist die op zoek is naar een nieuwe uitdaging bij een vooraanstaand bedrijf in de energiesector? dan hebben wij de perfecte positie voor jou! deze innovatieve organisatie, gevestigd in de regio gorinchem, speelt een cruciale rol in de energiemarkt. je komt terecht in een dynamische werkomgeving waarin je de vrijheid, verantwoordelij…",https://www.adzuna.nl/details/5544009248?utm_medium=api&utm_source=6c368b7e,False,False,False,False,False,False,False,False,False,False,False,False
nl,business intelligence,Medior BI Consultant,Hupp Recruitment,"Oosteind, Oosterhout",,,,2026-06-30 11:51:29+00:00,"organisatie kweekers helpt organisaties – van kleine bedrijven tot grote zorginstellingen – hun bedrijfsprocessen te digitaliseren, automatiseren en optimaliseren. met oplossingen als u-turn en power bi wordt software ontwikkeld die processen stroomlijnt en tijd en kosten bespaart. door nauw samen te werken zorgt kweekers voor gebruiksvriendelijke en efficiënte systemen die organisaties helpen groeien. de kernwaarden van kweekers – trouw, vuur, echt en wauw – staan centraal in de samenwerking m…",https://www.adzuna.nl/details/5782003832?utm_medium=api&utm_source=6c368b7e,False,False,True,False,False,False,False,False,False,False,False,False
nl,business intelligence,Power BI Consultant,We ARE Recruitment Group,Nederland,,,contract,2025-10-05 21:23:30+00:00,"we are renewables is looking for a power bi consultant for one of our clients in the energy sector. power bi consultant – commercial assurance framework the role: how will you help power the netherlands? as a senior power bi consultant, you will work on the implementation and rollout of the commercial assurance framework (caf) across the 2gw projects. your key responsibilities include: developing power bi dashboards to support effective project information management; supporting the application…",https://www.adzuna.nl/details/5433136036?utm_medium=api&utm_source=6c368b7e,False,False,True,False,False,False,False,False,False,False,False,False
nl,business intelligence,Ervaren BI Specialist,Jelling,"Sterrenwijk, Utrecht",,,,2025-12-02 12:23:24+00:00,"€6.500,- | 36-40 uur | combineer technische diepgang met klantgericht advies in een flexibele en kennisgedreven consultancyomgeving functieomschrijving ben jij een analytisch sterke professional met passie voor data en inzicht? in deze veelzijdige consultancyfunctie geef je richting aan datagedreven besluitvorming bij diverse opdrachtgevers. of je nu adviseert over rapportagestructuren, datamodellen bouwt of de technische infrastructuur optimaliseert — jouw werk heeft directe impact op organisa…",https://www.adzuna.nl/details/5523790809?utm_medium=api&utm_source=6c368b7e,False,False,False,False,False,False,False,False,False,False,False,False
nl,business intelligence,Senior BI Architect,Werken bij VDL,"Eindhoven, Noord-Brabant",,,permanent,2026-06-18 06:38:11+00:00,"wil jij een sleutelrol spelen in de transformatie naar een modern data- en bi-landschap binnen een internationale industriële organisatie? bij vdl etg krijg je de kans om impact te maken op strategisch niveau én hands-on te bouwen aan toekomstbestendige oplossingen. de functie als senior bi architect ben je verantwoordelijk voor het ontwerpen, realiseren en beheren van de data-architectuur binnen vdl etg. in het kader van de transitie van baan iv naar infor ln werk je mee aan een toekomstgerich…",https://www.adzuna.nl/details/5767564637?utm_medium=api&utm_source=6c368b7e,False,False,False,False,False,False,False,False,False,False,False,False
nl,business intelligence,Vacature Power BI Specialist,Mosaic World,"Eindhoven, Noord-Brabant",,,,2026-04-24 03:17:14+00:00,"als power bi specialist zorg jij dat data binnen mosaic world niet alleen inzicht geeft, maar ook écht gebruikt wordt in de business. jij maakt data begrijpelijk, bespreekbaar en toepasbaar voor collega’s van operatie tot management. je bent dan ook niet alleen technisch sterk, maar vooral iemand die graag samenwerkt, doorvraagt en stakeholders meeneemt in datagedreven werken. wat ga je doen? ontwikkelen van dashboards en rapportages in power bi actief ophalen van wensen en behoeften bij colleg…",https://www.adzuna.nl/details/5708850335?utm_medium=api&utm_source=6c368b7e,False,False,True,False,False,False,False,False,False,False,False,False
nl,business intelligence,BI Planning Engineer,alliander,"Arnhem, Gelderland",,,,2026-06-04 11:28:32+00:00,"maak impact op de digitalisering van het energienet als bi planning engineer bij alliander. in deze rol zorg je ervoor dat planningsprocessen slimmer, efficiënter en beter geïntegreerd verlopen. dat doen we vanuit één centraal it-landschap, gebaseerd op het sap business technology platform. het betreft een functie van 32 tot 40 uur per week met als standplaats arnhem. zo maak jij het net slimmer bij alliander. de energietransitie is onmogelijk zonder jou als bi planning engineer als bi planning…",https://www.adzuna.nl/land/ad/5751801531?se=WvtNWa908RGeccqK7JssDw&utm_medium=api&utm_source=6c368b7e&v=D01A7B39B7A48AFF514282EB1C39D7894D6FDB0B,False,False,False,False,False,False,False,False,False,False,False,False
nl,business intelligence,BI Planning Engineer,Alliander,"Arnhem, Gelderland",,,,2026-06-04 03:28:22+00:00,"de energietransitie is onmogelijk zonder jou als bi planning engineer als bi planning engineer ontwerp en bouw je mee aan een optimale planning in sap ibp. dankzij jouw werk sluiten strategische, tactische en operationele planningen beter op elkaar aan. je zorgt ervoor dat systemen en data effectief samenwerken, zodat een integrale planning ontstaat voor personeel, materiaal en diensten. daarbij werk je nauw samen met collega’s uit verschillende planningsafdelingen en vertaal je hun behoeften n…",https://www.adzuna.nl/details/5751367712?utm_medium=api&utm_source=6c368b7e,False,False,False,False,False,False,False,False,False,False,False,False
nl,business intelligence,Senior BI Specialist (2x),Flexintens,"Huissen, Lingewaard",,,contract,2026-06-30 00:02:13+00:00,"wie zijn wij? reageren op deze opdracht kan uitsluitend t/m 30-07-2026 om 12:00. wat ga je doen? voor de provincie gelderland is flexintens op zoek naar een senior bi specialist (2x) voor 32 tot 40 uur per week. gelderland, de mooiste provincie van nederland! elke dag werken we in de grootste provincie van nederland samen met ruim 1.500 medewerkers om gelderland mooi, schoon, welvarend en veilig te houden van en voor ons allemaal. we doen dit met veel inzet, motivatie, kennis en kunde en uitera…",https://www.adzuna.nl/details/5781464673?utm_medium=api&utm_source=6c368b7e,False,False,False,False,False,False,False,False,False,False,False,False
